Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","0-4"

"Measures","Age","National - Regional - LAs","Year","Count",
"Population","0-4","E07000165","Mid-2020",7443
"Population","0-4","E07000166","Mid-2019",2625
"Population","0-4","E07000166","Mid-2020",2486
"Population","0-4","E07000167","Mid-2019",2425
"Population","0-4","E07000167","Mid-2020",2326
"Population","0-4","E07000168","Mid-2019",5128
"Population","0-4","E07000168","Mid-2020",4931
"Population","0-4","E07000169","Mid-2019",5062
"Population","0-4","E07000169","Mid-2020",4953
"Population","0-4","E08000016","Mid-2019",14142
"Population","0-4","E08000016","Mid-2020",13926
"Population","0-4","E08000017","Mid-2019",18067
"Population","0-4","E08000017","Mid-2020",17957
"Population","0-4","E08000018","Mid-2019",15562
"Population","0-4","E08000018","Mid-2020",15195
"Population","0-4","E08000019","Mid-2019",32212
"Population","0-4","E08000019","Mid-2020",31777
"Population","0-4","E08000032","Mid-2019",38992
"Population","0-4","E08000032","Mid-2020",37964
"Population","0-4","E08000033","Mid-2019",12190
"Population","0-4","E08000033","Mid-2020",11655
"Population","0-4","E08000034","Mid-2019",26742
"Population","0-4","E08000034","Mid-2020",26020
"Population","0-4","E08000035","Mid-2019",49914
"Population","0-4","E08000035","Mid-2020",48733
"Population","0-4","E08000036","Mid-2019",21094
"Population","0-4","E08000036","Mid-2020",21103
"Population","0-4","E06000015","Mid-2019",16321
"Population","0-4","E06000015","Mid-2020",15795
"Population","0-4","E06000016","Mid-2019",24447
"Population","0-4","E06000016","Mid-2020",23697
"Population","0-4","E06000061","Mid-2019",21320
"Population","0-4","E06000061","Mid-2020",20894
"Population","0-4","E06000018","Mid-2019",20335
"Population","0-4","E06000018","Mid-2020",19700
"Population","0-4","E06000017","Mid-2019",1861
"Population","0-4","E06000017","Mid-2020",1776
"Population","0-4","E06000062","Mid-2019",25435
"Population","0-4","E06000062","Mid-2020",25080
"Population","0-4","E07000032","Mid-2019",6324
"Population","0-4","E07000032","Mid-2020",6259
"Population","0-4","E07000033","Mid-2019",4325
"Population","0-4","E07000033","Mid-2020",4295
"Population","0-4","E07000034","Mid-2019",5265
"Population","0-4","E07000034","Mid-2020",5194
"Population","0-4","E07000035","Mid-2019",2766
"Population","0-4","E07000035","Mid-2020",2666
"Population","0-4","E07000036","Mid-2019",5943
"Population","0-4","E07000036","Mid-2020",5768
"Population","0-4","E07000037","Mid-2019",4596
"Population","0-4","E07000037","Mid-2020",4464
"Population","0-4","E07000038","Mid-2019",4787
"Population","0-4","E07000038","Mid-2020",4719
"Population","0-4","E07000039","Mid-2019",5922
"Population","0-4","E07000039","Mid-2020",5955
"Population","0-4","E07000129","Mid-2019",5699
"Population","0-4","E07000129","Mid-2020",5642
"Population","0-4","E07000130","Mid-2019",9609
"Population","0-4","E07000130","Mid-2020",9554
"Population","0-4","E07000131","Mid-2019",4641
"Population","0-4","E07000131","Mid-2020",4619
"Population","0-4","E07000132","Mid-2019",5893
"Population","0-4","E07000132","Mid-2020",5815
"Population","0-4","E07000133","Mid-2019",2515
"Population","0-4","E07000133","Mid-2020",2438
"Population","0-4","E07000134","Mid-2019",5658
"Population","0-4","E07000134","Mid-2020",5565
"Population","0-4","E07000135","Mid-2019",3010
"Population","0-4","E07000135","Mid-2020",2880
"Population","0-4","E07000136","Mid-2019",4250
"Population","0-4","E07000136","Mid-2020",4089
"Population","0-4","E07000137","Mid-2019",6188
"Population","0-4","E07000137","Mid-2020",6010
"Population","0-4","E07000138","Mid-2019",5511
"Population","0-4","E07000138","Mid-2020",5310
"Population","0-4","E07000139","Mid-2019",5875
"Population","0-4","E07000139","Mid-2020",5718
"Population","0-4","E07000140","Mid-2019",5132
"Population","0-4","E07000140","Mid-2020",5037
"Population","0-4","E07000141","Mid-2019",7324
"Population","0-4","E07000141","Mid-2020",7114
"Population","0-4","E07000142","Mid-2019",4705
"Population","0-4","E07000142","Mid-2020",4520
"Population","0-4","E07000170","Mid-2019",7312
"Population","0-4","E07000170","Mid-2020",7073
"Population","0-4","E07000171","Mid-2019",6306
"Population","0-4","E07000171","Mid-2020",6209
"Population","0-4","E07000172","Mid-2019",5690
"Population","0-4","E07000172","Mid-2020",5519
"Population","0-4","E07000173","Mid-2019",6121
"Population","0-4","E07000173","Mid-2020",5933
"Population","0-4","E07000174","Mid-2019",6430
"Population","0-4","E07000174","Mid-2020",6210
"Population","0-4","E07000175","Mid-2019",6346
"Population","0-4","E07000175","Mid-2020",6200
"Population","0-4","E07000176","Mid-2019",5966
"Population","0-4","E07000176","Mid-2020",5917
"Population","0-4","E06000019","Mid-2019",9120
"Population","0-4","E06000019","Mid-2020",8929
"Population","0-4","E06000051","Mid-2019",14857
"Population","0-4","E06000051","Mid-2020",14788
"Population","0-4","E06000021","Mid-2019",16665
"Population","0-4","E06000021","Mid-2020",16391
"Population","0-4","E06000020","Mid-2019",10844
"Population","0-4","E06000020","Mid-2020",10789
"Population","0-4","E07000192","Mid-2019",5406
"Population","0-4","E07000192","Mid-2020",5412
"Population","0-4","E07000193","Mid-2019",7154
"Population","0-4","E07000193","Mid-2020",7138
"Population","0-4","E07000194","Mid-2019",5107
"Population","0-4","E07000194","Mid-2020",5147
"Population","0-4","E07000195","Mid-2019",5969
"Population","0-4","E07000195","Mid-2020",5872
"Population","0-4","E07000196","Mid-2019",4999
"Population","0-4","E07000196","Mid-2020",5060
"Population","0-4","E07000197","Mid-2019",6850
"Population","0-4","E07000197","Mid-2020",6755
"Population","0-4","E07000198","Mid-2019",4173
"Population","0-4","E07000198","Mid-2020",4133
"Population","0-4","E07000199","Mid-2019",4428
"Population","0-4","E07000199","Mid-2020",4431
"Population","0-4","E07000218","Mid-2019",3354
"Population","0-4","E07000218","Mid-2020",3291
"Population","0-4","E07000219","Mid-2019",8123
"Population","0-4","E07000219","Mid-2020",8089
"Population","0-4","E07000220","Mid-2019",6574
"Population","0-4","E07000220","Mid-2020",6590
"Population","0-4","E07000221","Mid-2019",6311
"Population","0-4","E07000221","Mid-2020",6388
"Population","0-4","E07000222","Mid-2019",7508
"Population","0-4","E07000222","Mid-2020",7431
"Population","0-4","E08000025","Mid-2019",81611
"Population","0-4","E08000025","Mid-2020",79650
"Population","0-4","E08000026","Mid-2019",22757
"Population","0-4","E08000026","Mid-2020",22395
"Population","0-4","E08000027","Mid-2019",18768
"Population","0-4","E08000027","Mid-2020",18466
"Population","0-4","E08000028","Mid-2019",23396
"Population","0-4","E08000028","Mid-2020",22938
"Population","0-4","E08000029","Mid-2019",12281
"Population","0-4","E08000029","Mid-2020",12069
"Population","0-4","E08000030","Mid-2019",19501
"Population","0-4","E08000030","Mid-2020",19265
"Population","0-4","E08000031","Mid-2019",17784
"Population","0-4","E08000031","Mid-2020",17336
"Population","0-4","E07000234","Mid-2019",5222
"Population","0-4","E07000234","Mid-2020",5267
"Population","0-4","E07000235","Mid-2019",3263
"Population","0-4","E07000235","Mid-2020",3191
"Population","0-4","E07000236","Mid-2019",5292
"Population","0-4","E07000236","Mid-2020",5180
"Population","0-4","E07000237","Mid-2019",5661
"Population","0-4","E07000237","Mid-2020",5466
"Population","0-4","E07000238","Mid-2019",6375
"Population","0-4","E07000238","Mid-2020",6323
"Population","0-4","E07000239","Mid-2019",5301
"Population","0-4","E07000239","Mid-2020",5077
"Population","0-4","E06000055","Mid-2019",11460
"Population","0-4","E06000055","Mid-2020",11385
"Population","0-4","E06000056","Mid-2019",17971
"Population","0-4","E06000056","Mid-2020",18161
"Population","0-4","E06000032","Mid-2019",17208
"Population","0-4","E06000032","Mid-2020",17037
"Population","0-4","E06000031","Mid-2019",15470
"Population","0-4","E06000031","Mid-2020",14977
"Population","0-4","E06000033","Mid-2019",11103
"Population","0-4","E06000033","Mid-2020",10781
"Population","0-4","E06000034","Mid-2019",13282
"Population","0-4","E06000034","Mid-2020",13104
"Population","0-4","E07000008","Mid-2019",6863
"Population","0-4","E07000008","Mid-2020",6886
"Population","0-4","E07000009","Mid-2019",4909
"Population","0-4","E07000009","Mid-2020",4755
"Population","0-4","E07000010","Mid-2019",5716
"Population","0-4","E07000010","Mid-2020",5592
"Population","0-4","E07000011","Mid-2019",10002
"Population","0-4","E07000011","Mid-2020",9963
"Population","0-4","E07000012","Mid-2019",9073
"Population","0-4","E07000012","Mid-2020",8911
"Population","0-4","E07000066","Mid-2019",12841
"Population","0-4","E07000066","Mid-2020",12774
"Population","0-4","E07000067","Mid-2019",8562
"Population","0-4","E07000067","Mid-2020",8457
"Population","0-4","E07000068","Mid-2019",4412
"Population","0-4","E07000068","Mid-2020",4408
"Population","0-4","E07000069","Mid-2019",4462
"Population","0-4","E07000069","Mid-2020",4394
"Population","0-4","E07000070","Mid-2019",10148
"Population","0-4","E07000070","Mid-2020",9944
"Population","0-4","E07000071","Mid-2019",11313
"Population","0-4","E07000071","Mid-2020",11143
"Population","0-4","E07000072","Mid-2019",8010
"Population","0-4","E07000072","Mid-2020",8193
"Population","0-4","E07000073","Mid-2019",6489
"Population","0-4","E07000073","Mid-2020",6333
"Population","0-4","E07000074","Mid-2019",2939
"Population","0-4","E07000074","Mid-2020",2986
"Population","0-4","E07000075","Mid-2019",4161
"Population","0-4","E07000075","Mid-2020",4130
"Population","0-4","E07000076","Mid-2019",7008
"Population","0-4","E07000076","Mid-2020",6826
"Population","0-4","E07000077","Mid-2019",5273
"Population","0-4","E07000077","Mid-2020",5249
"Population","0-4","E07000095","Mid-2019",6383
"Population","0-4","E07000095","Mid-2020",6195
"Population","0-4","E07000096","Mid-2019",9909
"Population","0-4","E07000096","Mid-2020",9863
"Population","0-4","E07000242","Mid-2019",8494
"Population","0-4","E07000242","Mid-2020",8540
"Population","0-4","E07000098","Mid-2019",6725
"Population","0-4","E07000098","Mid-2020",6632
"Population","0-4","E07000099","Mid-2019",7820
"Population","0-4","E07000099","Mid-2020",7711
"Population","0-4","E07000240","Mid-2019",9336
"Population","0-4","E07000240","Mid-2020",9162
"Population","0-4","E07000243","Mid-2019",5822
"Population","0-4","E07000243","Mid-2020",5744
"Population","0-4","E07000102","Mid-2019",5327
"Population","0-4","E07000102","Mid-2020",5264
"Population","0-4","E07000103","Mid-2019",6895
"Population","0-4","E07000103","Mid-2020",6830
"Population","0-4","E07000241","Mid-2019",7003
"Population","0-4","E07000241","Mid-2020",6923
