Stat-Xplore

"Relative Low Income (I II III IV V VI)"
"National - Regional - LA - OAs by Year"
"Counting: Relative Low Income"

Filters:
"Default Summation","Relative Low Income"

"Year","2019/20","2019/20 - Annotations","2020/21 (p)","2020/21 - Annotations",
"National - Regional - LA - OAs",
"E09000011",16729,,15323,,
"E09000015",11232,,11167,,
"E09000016",11090,,10496,,
"E09000017",14648,,13761,,
"E09000018",14234,,13332,,
"E09000021",4386,,4009,,
"E09000024",8731,,7894,,
"E09000026",17713,,15867,,
"E09000027",3366,,3261,,
"E09000029",6947,,6496,,
"E09000031",18365,,16639,,
"E06000036",2957,,3371,,
"E06000043",7669,,8070,,
"E06000060",16666,,18237,,
"E06000046",5590,,6010,,
"E06000035",12825,,13859,,
"E06000042",13829,,14066,,
"E06000044",10166,,10160,,
"E06000038",5948,,6414,,
"E06000039",9835,,10720,,
"E06000045",12158,,12518,,
"E06000037",3774,,3898,,
"E06000040",3181,,3639,,
"E06000041",3108,,3539,,
"E07000061",3913,,4141,,
"E07000062",4875,,4858,,
"E07000063",2896,,3067,,
"E07000064",3162,,3345,,
"E07000065",4435,,4936,,
"E07000084",4585,,5146,,
"E07000085",2940,,3164,,
"E07000086",3397,,3758,,
"E07000087",2701,,2618,,
"E07000088",3262,,3519,,
"E07000089",1638,,1778,,
"E07000090",5214,,5426,,
"E07000091",4617,,5029,,
"E07000092",2755,,2979,,
"E07000093",2874,,3227,,
"E07000094",2596,,2902,,
"E07000105",5469,,5654,,
"E07000106",5283,,5416,,
"E07000107",4541,,4877,,
"E07000108",5319,,5198,,
"E07000112",4628,,4764,,
"E07000109",5448,,5655,,
"E07000110",6081,,6319,,
"E07000111",3432,,3727,,
"E07000113",6780,,7096,,
"E07000114",7780,,7502,,
"E07000115",3975,,4196,,
"E07000116",3198,,3426,,
"E07000177",4503,,4850,,
"E07000178",4681,,4772,,
"E07000179",2779,,3042,,
"E07000180",2641,,2991,,
"E07000181",2357,,2553,,
"E07000207",2104,,2461,,
"E07000208",1339,,1545,,
"E07000209",2623,,2778,,
"E07000210",1530,,1735,,
"E07000211",3459,,3911,,
"E07000212",1873,,2184,,
"E07000213",2427,,2803,,
"E07000214",1811,,2033,,
"E07000215",1833,,2123,,
"E07000216",2229,,2496,,
"E07000217",3019,,3171,,
"E07000223",2192,,2471,,
"E07000224",5297,,5601,,
"E07000225",3200,,3532,,
"E07000226",5620,,6254,,
"E07000227",3022,,3470,,
"E07000228",3033,,3371,,
"E07000229",3429,,3788,,
"E06000022",3673,,3690,,
"E06000058",10468,,10777,,
"E06000023",19043,,18478,,
"E06000052",22117,,21277,,
"E06000059",9617,,9283,,
"E06000053",36,,32,,
"E06000024",5573,,5541,,
"E06000026",10644,,9866,,
"E06000025",6808,,6762,,
"E06000030",7611,,7454,,
"E06000027",5273,,4899,,
"E06000054",11911,,11664,,
"E07000040",3993,,3803,,
"E07000041",3536,,3234,,
"E07000042",2866,,2765,,
"E07000043",3694,,3527,,
"E07000044",2512,,2396,,
"E07000045",4186,,3860,,
"E07000046",2738,,2594,,
"E07000047",1775,,1616,,
"E07000078",3262,,3055,,
"E07000079",1763,,1729,,
"E07000080",2836,,2720,,
"E07000081",5491,,5127,,
"E07000082",3100,,3140,,
"E07000083",2484,,2484,,
"E07000187",3454,,3477,,
"E07000188",4457,,4080,,
"E07000246",4823,,4574,,
"E07000189",4907,,4876,,
"W06000001",3192,,4155,,
"W06000002",5301,,6966,,
"W06000003",4686,,6349,,
"W06000004",4275,,5637,,
"W06000005",5612,,7452,,
"W06000006",6666,,7751,,
