Stat-Xplore

"Population Estimates"
"National - Regional - LAs by Year by Age"
"Counting: Population"

Filters:
"Default Summation","Population"
"Age","15"

"Measures","Age","National - Regional - LAs","Year","Count",
"Population","15","E08000018","Mid-2019",2972
"Population","15","E08000018","Mid-2020",2999
"Population","15","E08000019","Mid-2019",6209
"Population","15","E08000019","Mid-2020",6449
"Population","15","E08000032","Mid-2019",7389
"Population","15","E08000032","Mid-2020",7686
"Population","15","E08000033","Mid-2019",2522
"Population","15","E08000033","Mid-2020",2572
"Population","15","E08000034","Mid-2019",5333
"Population","15","E08000034","Mid-2020",5475
"Population","15","E08000035","Mid-2019",8155
"Population","15","E08000035","Mid-2020",8327
"Population","15","E08000036","Mid-2019",3846
"Population","15","E08000036","Mid-2020",3824
"Population","15","E06000015","Mid-2019",3114
"Population","15","E06000015","Mid-2020",3122
"Population","15","E06000016","Mid-2019",4132
"Population","15","E06000016","Mid-2020",4208
"Population","15","E06000061","Mid-2019",4323
"Population","15","E06000061","Mid-2020",4165
"Population","15","E06000018","Mid-2019",3318
"Population","15","E06000018","Mid-2020",3522
"Population","15","E06000017","Mid-2019",582
"Population","15","E06000017","Mid-2020",626
"Population","15","E06000062","Mid-2019",4553
"Population","15","E06000062","Mid-2020",4740
"Population","15","E07000032","Mid-2019",1289
"Population","15","E07000032","Mid-2020",1318
"Population","15","E07000033","Mid-2019",826
"Population","15","E07000033","Mid-2020",887
"Population","15","E07000034","Mid-2019",1022
"Population","15","E07000034","Mid-2020",1053
"Population","15","E07000035","Mid-2019",796
"Population","15","E07000035","Mid-2020",771
"Population","15","E07000036","Mid-2019",1308
"Population","15","E07000036","Mid-2020",1276
"Population","15","E07000037","Mid-2019",1012
"Population","15","E07000037","Mid-2020",997
"Population","15","E07000038","Mid-2019",1073
"Population","15","E07000038","Mid-2020",1070
"Population","15","E07000039","Mid-2019",1273
"Population","15","E07000039","Mid-2020",1277
"Population","15","E07000129","Mid-2019",1234
"Population","15","E07000129","Mid-2020",1160
"Population","15","E07000130","Mid-2019",1911
"Population","15","E07000130","Mid-2020",1927
"Population","15","E07000131","Mid-2019",1155
"Population","15","E07000131","Mid-2020",1128
"Population","15","E07000132","Mid-2019",1262
"Population","15","E07000132","Mid-2020",1218
"Population","15","E07000133","Mid-2019",588
"Population","15","E07000133","Mid-2020",556
"Population","15","E07000134","Mid-2019",1285
"Population","15","E07000134","Mid-2020",1181
"Population","15","E07000135","Mid-2019",619
"Population","15","E07000135","Mid-2020",670
"Population","15","E07000136","Mid-2019",653
"Population","15","E07000136","Mid-2020",773
"Population","15","E07000137","Mid-2019",1369
"Population","15","E07000137","Mid-2020",1331
"Population","15","E07000138","Mid-2019",859
"Population","15","E07000138","Mid-2020",851
"Population","15","E07000139","Mid-2019",1260
"Population","15","E07000139","Mid-2020",1305
"Population","15","E07000140","Mid-2019",975
"Population","15","E07000140","Mid-2020",938
"Population","15","E07000141","Mid-2019",1631
"Population","15","E07000141","Mid-2020",1619
"Population","15","E07000142","Mid-2019",1036
"Population","15","E07000142","Mid-2020",1049
"Population","15","E07000170","Mid-2019",1364
"Population","15","E07000170","Mid-2020",1440
"Population","15","E07000171","Mid-2019",1300
"Population","15","E07000171","Mid-2020",1288
"Population","15","E07000172","Mid-2019",1144
"Population","15","E07000172","Mid-2020",1106
"Population","15","E07000173","Mid-2019",1281
"Population","15","E07000173","Mid-2020",1253
"Population","15","E07000174","Mid-2019",1102
"Population","15","E07000174","Mid-2020",1137
"Population","15","E07000175","Mid-2019",1326
"Population","15","E07000175","Mid-2020",1344
"Population","15","E07000176","Mid-2019",1331
"Population","15","E07000176","Mid-2020",1416
"Population","15","E06000019","Mid-2019",2000
"Population","15","E06000019","Mid-2020",2028
"Population","15","E06000051","Mid-2019",3531
"Population","15","E06000051","Mid-2020",3575
"Population","15","E06000021","Mid-2019",2845
"Population","15","E06000021","Mid-2020",3023
"Population","15","E06000020","Mid-2019",2090
"Population","15","E06000020","Mid-2020",2219
"Population","15","E07000192","Mid-2019",1138
"Population","15","E07000192","Mid-2020",1067
"Population","15","E07000193","Mid-2019",1400
"Population","15","E07000193","Mid-2020",1414
"Population","15","E07000194","Mid-2019",1146
"Population","15","E07000194","Mid-2020",1127
"Population","15","E07000195","Mid-2019",1306
"Population","15","E07000195","Mid-2020",1421
"Population","15","E07000196","Mid-2019",1168
"Population","15","E07000196","Mid-2020",1175
"Population","15","E07000197","Mid-2019",1393
"Population","15","E07000197","Mid-2020",1490
"Population","15","E07000198","Mid-2019",1085
"Population","15","E07000198","Mid-2020",1130
"Population","15","E07000199","Mid-2019",961
"Population","15","E07000199","Mid-2020",843
"Population","15","E07000218","Mid-2019",664
"Population","15","E07000218","Mid-2020",749
"Population","15","E07000219","Mid-2019",1429
"Population","15","E07000219","Mid-2020",1423
"Population","15","E07000220","Mid-2019",1340
"Population","15","E07000220","Mid-2020",1373
"Population","15","E07000221","Mid-2019",1387
"Population","15","E07000221","Mid-2020",1383
"Population","15","E07000222","Mid-2019",1488
"Population","15","E07000222","Mid-2020",1530
"Population","15","E08000025","Mid-2019",14921
"Population","15","E08000025","Mid-2020",15267
"Population","15","E08000026","Mid-2019",3903
"Population","15","E08000026","Mid-2020",3868
"Population","15","E08000027","Mid-2019",3797
"Population","15","E08000027","Mid-2020",3930
"Population","15","E08000028","Mid-2019",4083
"Population","15","E08000028","Mid-2020",4308
"Population","15","E08000029","Mid-2019",2635
"Population","15","E08000029","Mid-2020",2654
"Population","15","E08000030","Mid-2019",3531
"Population","15","E08000030","Mid-2020",3628
"Population","15","E08000031","Mid-2019",3034
"Population","15","E08000031","Mid-2020",3233
"Population","15","E07000234","Mid-2019",1151
"Population","15","E07000234","Mid-2020",1186
"Population","15","E07000235","Mid-2019",896
"Population","15","E07000235","Mid-2020",934
"Population","15","E07000236","Mid-2019",975
"Population","15","E07000236","Mid-2020",1058
"Population","15","E07000237","Mid-2019",1091
"Population","15","E07000237","Mid-2020",1094
"Population","15","E07000238","Mid-2019",1379
"Population","15","E07000238","Mid-2020",1416
"Population","15","E07000239","Mid-2019",1032
"Population","15","E07000239","Mid-2020",1035
"Population","15","E06000055","Mid-2019",2119
"Population","15","E06000055","Mid-2020",2086
"Population","15","E06000056","Mid-2019",3184
"Population","15","E06000056","Mid-2020",3284
"Population","15","E06000032","Mid-2019",2636
"Population","15","E06000032","Mid-2020",2904
"Population","15","E06000031","Mid-2019",2406
"Population","15","E06000031","Mid-2020",2421
"Population","15","E06000033","Mid-2019",1952
"Population","15","E06000033","Mid-2020",2059
"Population","15","E06000034","Mid-2019",2130
"Population","15","E06000034","Mid-2020",2271
"Population","15","E07000008","Mid-2019",1224
"Population","15","E07000008","Mid-2020",1173
"Population","15","E07000009","Mid-2019",1014
"Population","15","E07000009","Mid-2020",1091
"Population","15","E07000010","Mid-2019",1112
"Population","15","E07000010","Mid-2020",993
"Population","15","E07000011","Mid-2019",1912
"Population","15","E07000011","Mid-2020",2013
"Population","15","E07000012","Mid-2019",1924
"Population","15","E07000012","Mid-2020",2012
"Population","15","E07000066","Mid-2019",2169
"Population","15","E07000066","Mid-2020",2189
"Population","15","E07000067","Mid-2019",1707
"Population","15","E07000067","Mid-2020",1809
"Population","15","E07000068","Mid-2019",975
"Population","15","E07000068","Mid-2020",913
"Population","15","E07000069","Mid-2019",1025
"Population","15","E07000069","Mid-2020",977
"Population","15","E07000070","Mid-2019",2011
"Population","15","E07000070","Mid-2020",2112
"Population","15","E07000071","Mid-2019",2032
"Population","15","E07000071","Mid-2020",2105
"Population","15","E07000072","Mid-2019",1473
"Population","15","E07000072","Mid-2020",1470
"Population","15","E07000073","Mid-2019",1012
"Population","15","E07000073","Mid-2020",1005
"Population","15","E07000074","Mid-2019",669
"Population","15","E07000074","Mid-2020",787
"Population","15","E07000075","Mid-2019",1006
"Population","15","E07000075","Mid-2020",913
"Population","15","E07000076","Mid-2019",1517
"Population","15","E07000076","Mid-2020",1467
"Population","15","E07000077","Mid-2019",1170
"Population","15","E07000077","Mid-2020",1106
"Population","15","E07000095","Mid-2019",1088
"Population","15","E07000095","Mid-2020",1114
"Population","15","E07000096","Mid-2019",1730
"Population","15","E07000096","Mid-2020",1783
"Population","15","E07000242","Mid-2019",1895
"Population","15","E07000242","Mid-2020",1914
"Population","15","E07000098","Mid-2019",1344
"Population","15","E07000098","Mid-2020",1285
"Population","15","E07000099","Mid-2019",1573
"Population","15","E07000099","Mid-2020",1535
"Population","15","E07000240","Mid-2019",1979
"Population","15","E07000240","Mid-2020",1967
"Population","15","E07000243","Mid-2019",993
"Population","15","E07000243","Mid-2020",957
"Population","15","E07000102","Mid-2019",1185
"Population","15","E07000102","Mid-2020",1210
"Population","15","E07000103","Mid-2019",1184
"Population","15","E07000103","Mid-2020",1159
"Population","15","E07000241","Mid-2019",1288
"Population","15","E07000241","Mid-2020",1353
"Population","15","E07000143","Mid-2019",1360
"Population","15","E07000143","Mid-2020",1420
"Population","15","E07000144","Mid-2019",1334
"Population","15","E07000144","Mid-2020",1434
"Population","15","E07000145","Mid-2019",1058
"Population","15","E07000145","Mid-2020",1049
"Population","15","E07000146","Mid-2019",1528
"Population","15","E07000146","Mid-2020",1505
"Population","15","E07000147","Mid-2019",932
"Population","15","E07000147","Mid-2020",949
"Population","15","E07000148","Mid-2019",1194
"Population","15","E07000148","Mid-2020",1300
"Population","15","E07000149","Mid-2019",1614
"Population","15","E07000149","Mid-2020",1590
"Population","15","E07000200","Mid-2019",1154
"Population","15","E07000200","Mid-2020",1058
"Population","15","E07000244","Mid-2019",2737
"Population","15","E07000244","Mid-2020",2808
"Population","15","E07000202","Mid-2019",1559
"Population","15","E07000202","Mid-2020",1536
"Population","15","E07000203","Mid-2019",1222
"Population","15","E07000203","Mid-2020",1165
"Population","15","E07000245","Mid-2019",1938
"Population","15","E07000245","Mid-2020",1821
"Population","15","E09000007","Mid-2019",2746
"Population","15","E09000007","Mid-2020",2785
"Population","15","E09000001","Mid-2019",71
"Population","15","E09000001","Mid-2020",94
"Population","15","E09000012","Mid-2019",2968
"Population","15","E09000012","Mid-2020",3083
"Population","15","E09000013","Mid-2019",1567
"Population","15","E09000013","Mid-2020",1710
"Population","15","E09000014","Mid-2019",3080
"Population","15","E09000014","Mid-2020",2985
"Population","15","E09000019","Mid-2019",1959
"Population","15","E09000019","Mid-2020",2055
"Population","15","E09000020","Mid-2019",1434
"Population","15","E09000020","Mid-2020",1460
"Population","15","E09000022","Mid-2019",2987
"Population","15","E09000022","Mid-2020",3039
"Population","15","E09000023","Mid-2019",3034
"Population","15","E09000023","Mid-2020",3218
"Population","15","E09000025","Mid-2019",3948
"Population","15","E09000025","Mid-2020",4154
"Population","15","E09000028","Mid-2019",2893
"Population","15","E09000028","Mid-2020",3221
"Population","15","E09000030","Mid-2019",3429
"Population","15","E09000030","Mid-2020",3513
"Population","15","E09000032","Mid-2019",2578
"Population","15","E09000032","Mid-2020",2500
"Population","15","E09000033","Mid-2019",2394
"Population","15","E09000033","Mid-2020",2495
"Population","15","E09000002","Mid-2019",2744
"Population","15","E09000002","Mid-2020",3083
"Population","15","E09000003","Mid-2019",4652
"Population","15","E09000003","Mid-2020",4911
"Population","15","E09000004","Mid-2019",2917
"Population","15","E09000004","Mid-2020",3018
"Population","15","E09000005","Mid-2019",3774
"Population","15","E09000005","Mid-2020",3635
"Population","15","E09000006","Mid-2019",3867
"Population","15","E09000006","Mid-2020",3835
"Population","15","E09000008","Mid-2019",4757
"Population","15","E09000008","Mid-2020",4966
