state,poverty,n_statewide,n_anti_immigrant,n_anti_lgbtq,n_anti_muslim,n_christian_identity,n_general_hate,n_hate_music,n_ku_klux_klan,n_neo_nazi,n_neo_volkisch,n_racist_skinhead,n_white_nationalist,hq_general_hate,hq_ku_klux_klan,hq_neo_nazi,hq_neo_volkisch,hq_white_nationalist,hq_anti_immigrant,hq_anti_lgbtq,hq_anti_muslim,hq_hate_music,hq_racist_skinhead,hq_christian_identity,state_abbrev,income_inequality,trust,life_expectancy,infant_mortality,obesity,mental_health,maths_and_literacy_scores,teenage_births,homicides,imprisonment,index_of_health_social_problems,overweight_children,child_wellbeing,womens_status,juvenile_homicides,high_school_drop_outs,child_mental_illness,pugnacity,n_anti_immigrant_mt1,n_anti_lgbtq_mt1,n_anti_muslim_mt1,n_christian_identity_mt1,n_general_hate_mt1,n_hate_music_mt1,n_ku_klux_klan_mt1,n_neo_nazi_mt1,n_neo_volkisch_mt1,n_racist_skinhead_mt1,n_white_nationalist_mt1,population,lat,long,age_percent_65_and_older,miscellaneous_percent_female,ethnicities_white_alone,ethnicities_black_alone,hous_value,income_median_houseold_income,housing_households_with_a_internet,education_bachelors_degree_or_higher,employment_firms_minority_owned,rep_percent,rep_pop
Massachusetts,9.5,5,0,2,1,0,4,0,0,2,1,0,2,0,0,1,0,0,0,1,0,0,0,0,MA,0.46,46,78.4,4.9,26,3.2,280,27.1,19.8,174,-0.96,29,-7.1,0.98,2,15.2,9.8,36.16,0,1,0,0,1,0,0,1,0,0,1,68.92503,42.358162,-71.063698,17,51.5,80.6,9,3.816,81215,86.4,43.7,0.89967,32.1,FALSE
Michigan,12.9,5,0,2,3,0,9,0,0,3,1,1,6,0,0,1,1,1,0,1,1,0,0,0,MI,0.44,51,76.5,8.1,30,3.4,270,39.2,70.5,466,0.35,29,-0.3,0.51,11,16.6,10.1,35.11,0,1,1,0,1,0,0,1,0,0,1,99.86857,42.733635,-84.555328,17.7,50.7,79.2,14.1,1.549,57144,81.5,29.1,1.58946,47.8,FALSE
Minnesota,8.9,5,0,0,0,0,4,0,0,0,2,1,3,0,0,0,1,0,0,0,0,0,0,0,MN,0.43,63,79.1,5.4,25,3,279.5,29.6,28.1,117,-1.22,24,-11.1,1.28,2,12.1,8.3,32.04,0,0,0,0,1,0,0,0,1,0,1,56.39632,44.955097,-93.102211,16.3,50.2,83.8,7,2.239,71306,84.8,36.1,0.47302,45.3,FALSE
Mississippi,19.5,5,0,1,0,0,4,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,MS,0.48,17,73.7,10.3,33.5,3,258,72,76.9,574,1.69,37,19.5,-1.52,14,27.1,11.5,38.16,0,0,0,0,1,0,0,0,0,0,1,29.76149,32.303848,-90.182106,16.4,51.5,59.1,37.8,1.19,45081,71.5,22,0.74824,57.6,TRUE
Missouri,12.9,5,0,0,2,1,10,0,0,1,1,1,3,1,0,1,0,1,0,0,1,0,0,0,MO,0.45,44,76.2,8.5,29.5,3.2,273,48.8,65.7,457,0.39,31,1.4,0.38,11,18.7,8.7,36.29,0,0,1,0,1,0,0,0,0,0,1,61.37428,38.579201,-92.172935,17.3,50.9,82.9,11.8,1.572,55461,80.2,29.2,0.61035,56.8,TRUE
Montana,12.6,4,0,0,2,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,MT,0.44,64,77.3,7.5,23,2.6,278,35.8,26,310,-0.91,27,3.1,-0.31,0,12.8,8.2,41.21,0,0,1,0,0,0,0,0,0,0,1,10.68778,46.585709,-112.018417,19.3,49.7,88.9,0.6,2.306,54970,80.7,32,0.05578,56.9,TRUE
National,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nebraska,9.9,3,0,0,1,1,2,1,0,2,0,1,1,0,0,1,0,0,0,0,1,1,0,1,NE,0.42,NA,78.3,7,28.5,2.7,274,37.2,36,215,-0.58,26,-8.4,-0.14,3,13.4,8.9,33.67,0,0,0,0,1,0,0,1,0,0,0,19.34408,40.808075,-96.699654,16.2,50,88.1,5.2,1.558,61439,83.4,31.9,0.14571,58.5,TRUE
Nevada,12.7,5,0,1,1,0,6,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,NV,0.44,NA,75.9,6,25.5,3.7,260,62.2,91.2,542,0.8,27,4.8,-0.48,5,19.3,9.8,38.67,0,0,0,0,1,0,0,1,0,0,1,30.80156,39.163914,-119.766121,16.1,49.8,73.9,10.3,2.679,60365,83.2,24.7,0.71864,47.7,FALSE
New Hampshire,7.5,3,0,0,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,NH,0.41,62,78.5,5,25.5,2.9,278.5,23.4,15,182,-1.24,27,-14,0.25,NA,12.6,10.5,33.2,0,0,1,0,0,0,0,1,0,0,0,13.59711,43.206898,-71.537994,18.7,50.4,93.1,1.8,2.617,76768,87.7,37,0.06111,45.4,FALSE
New Jersey,9.1,7,0,0,0,0,9,2,0,1,0,2,2,0,0,0,0,1,0,0,0,1,1,0,NJ,0.46,41,77.5,5.7,29,2.8,274.5,31.7,35.2,382,-0.4,32,-9.9,-0.01,6,17.9,8.1,38.26,0,0,0,0,1,1,0,0,0,1,1,88.8219,40.220596,-74.769913,16.6,51.1,71.9,15.1,3.356,82545,85.8,39.7,2.37242,41.4,FALSE
New Mexico,17.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NM,0.46,NA,77.3,6.3,29.5,3.2,257.5,66.2,87.7,271,0.56,29,12.6,-0.45,5,21.1,8.6,43.56,0,0,0,0,0,0,0,0,0,0,0,20.96829,35.68224,-105.939728,18,50.5,81.9,2.6,1.714,49754,74.6,27.3,0.60622,43.5,FALSE
New York,13.1,5,0,3,5,0,18,1,0,1,1,0,6,1,0,0,1,1,0,1,1,1,0,0,NY,0.5,40,77.9,6,29,3.1,272.5,35.6,49.6,385,-0.18,31,-1.8,0.25,3,20.9,10.3,38.34,0,1,1,0,1,0,0,0,0,0,1,194.53561,42.652843,-73.757874,16.9,51.4,69.6,17.6,3.137,68486,82.8,36.6,7.09021,37.7,FALSE
North Carolina,13.6,7,1,0,1,0,19,0,2,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,NC,0.45,27,75.8,8.2,31,2.5,271.5,59.9,72.1,358,0.49,34,6.6,-0.32,9,21.9,10.1,40.58,0,0,0,0,1,0,1,0,0,0,0,104.88084,35.78043,-78.639099,16.7,51.4,70.6,22.2,1.725,54602,80.7,31.3,1.8338,49.9,FALSE
North Dakota,10.5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,0.43,67,78.7,6.3,27.5,2.8,278.5,28.2,15.8,131,-1.14,27,-7.3,-0.17,0,16.1,7.1,35.96,0,0,0,0,0,0,0,0,0,0,0,7.62062,46.82085,-100.783318,15.7,48.8,86.9,3.4,1.939,64894,80.7,30,0.0319,65.1,TRUE
Ohio,13,5,0,3,1,0,10,0,1,2,1,0,2,0,0,1,0,0,0,1,1,0,0,0,OH,0.44,41,76.4,7.9,31.5,2.6,274.5,45.6,35.3,432,0.06,30,-0.9,-0.44,4,17,10.7,38,0,1,0,0,1,0,0,1,0,0,1,116.891,39.961346,-82.999069,17.5,51,81.7,13.1,1.457,56602,82,28.3,1.22653,53.3,TRUE
Oklahoma,15.1,5,0,1,0,0,6,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,OK,0.46,39,75.3,8.1,28,2.3,267,60.1,68.8,622,0.49,28,5.5,-0.94,6,19.4,9.1,41.58,0,0,0,0,1,0,0,0,0,1,0,39.56971,35.492207,-97.503342,16.1,50.5,74,7.8,1.368,52919,78.6,25.5,0.64875,65.4,TRUE
Oregon,11.5,5,1,1,0,0,5,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,OR,0.44,55,77.9,5.8,30,3.4,272.5,43.2,26.5,260,-0.35,26,-4,0.17,4,14.9,9.4,36.26,0,0,0,0,1,0,0,1,0,0,0,42.17737,44.938461,-123.030403,18.2,50.4,86.7,2.2,3.122,62818,85.9,33.7,0.41456,40.4,FALSE
Pennsylvania,12,15,0,1,3,0,12,1,2,3,2,4,7,1,1,1,0,1,0,0,1,1,1,0,PA,0.45,44,76.8,7.6,30,3.1,271.5,35.2,49.4,303,-0.02,29,-3.6,-0.4,3,18.1,9.8,37.82,0,0,1,0,1,0,1,1,1,1,1,128.01989,40.264378,-76.883598,18.7,51,81.6,12,1.802,61744,81.5,31.4,1.31512,48.8,FALSE
Rhode Island,11.6,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,RI,0.46,52,78.2,7,27,3.1,266.5,38.4,36.3,220,-0.39,27,2,0.01,3,22,9.6,37.63,0,0,0,0,0,0,0,0,0,0,1,10.59361,41.830914,-71.414963,17.7,51.3,83.6,8.5,2.619,67167,84,34.2,0.14737,38.6,FALSE
South Carolina,13.9,6,0,1,0,0,8,0,1,1,2,0,5,0,0,0,0,1,0,1,0,0,0,0,SC,0.45,34,74.9,9.3,31,2.8,267.5,60.6,73.3,550,0.9,36,10.1,-0.9,13,23.7,8.6,40.62,0,0,0,0,1,0,0,0,1,0,1,51.48714,34.000343,-81.033211,18.2,51.6,68.6,27,1.623,53199,78.2,28.1,0.83233,55.1,TRUE
South Dakota,11.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SD,0.43,NA,78,6.5,28.5,2.3,277.5,37.2,24.6,327,-0.76,26,-4.5,-0.77,0,15.4,7.4,25.64,0,0,0,0,0,0,0,0,0,0,0,8.84659,44.367031,-100.346405,17.2,49.5,84.6,2.3,1.671,58275,80.7,28.8,0.04101,61.8,TRUE
Tennessee,13.8,11,0,2,2,1,11,0,4,4,1,1,5,0,1,1,0,1,0,1,1,0,0,1,TN,0.47,36,75,9.4,30.5,2.9,263,61.5,71.3,325,0.79,35,9.4,-0.99,21,24.1,11.1,38.87,0,1,1,0,1,0,1,1,0,0,1,68.29174,36.16581,-86.784241,16.7,51.2,78.4,17.1,1.672,53320,78.4,27.3,1.05234,60.7,TRUE
Texas,13.6,8,2,7,5,0,26,1,2,4,2,0,4,1,1,1,1,1,1,1,1,1,0,0,TX,0.47,33,76.7,6.4,34,3.2,268,69.2,60.7,724,0.93,32,5.4,-0.63,6,24.3,9.1,40.64,1,1,1,0,1,0,1,1,1,0,1,289.95881,30.27467,-97.740349,12.9,50.3,78.7,12.9,1.725,61874,81.9,29.9,10.70392,52.1,TRUE
Utah,8.8,4,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,UT,0.41,54,78.7,5.6,26,3.3,272.5,40,20.7,208,-0.71,21,-10.9,-0.36,5,12.3,8,40.27,0,0,0,0,0,0,0,0,0,1,0,32.05958,40.777477,-111.888237,11.4,49.6,90.6,1.5,2.791,71621,87.5,34,0.24423,58.1,TRUE
Vermont,10.1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,VT,0.42,59,78.2,4.4,25.5,2.9,278.5,24.1,28.6,162,-1.18,26,-11.7,1.09,NA,13.6,9,40,0,0,0,0,0,0,0,0,0,0,0,6.23989,44.262436,-72.580536,20,50.6,94.2,1.4,2.277,61973,81.5,38,0.02354,30.7,FALSE
Virginia,9.9,10,1,1,2,0,6,1,2,3,2,2,8,1,1,1,1,1,1,1,1,1,0,0,VA,0.45,38,76.9,7.4,27,2.9,275,40.8,57,420,-0.05,30,-2.8,0.38,8,18.5,8.1,40.83,0,0,1,0,1,0,1,1,1,1,1,85.35519,37.538857,-77.43364,15.9,50.8,69.4,19.9,2.731,74222,83.9,38.8,1.85043,44,FALSE
Washington,9.8,8,1,3,3,1,5,0,0,2,2,2,3,0,0,1,0,1,1,1,1,0,0,0,WA,0.44,46,78.2,5.8,27.5,3.1,272.5,38.2,29.7,247,-0.52,25,-3.6,1.08,5,12.9,9,37.48,0,1,1,0,1,0,0,1,1,1,1,76.148929999999993,47.035805,-122.905014,15.9,49.9,78.5,4.4,3.39,73775,88.3,36,0.92807,38.8,FALSE
West Virginia,16.2,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,WV,0.47,30,75,9.1,30.5,3.1,265.5,46.4,43.7,192,0.48,36,5.1,-1.5,2,24.8,9.4,45.11,0,0,0,0,0,0,0,0,0,0,1,17.92147,38.336246,-81.612328,20.5,50.5,93.5,3.6,1.196,46711,76,20.6,0.05777,68.6,TRUE
Wisconsin,10.4,5,0,1,1,0,4,1,0,1,2,1,2,0,0,1,1,0,0,1,0,1,0,0,WI,0.41,52,78.1,6.9,28,3,275,34.5,34.1,336,-0.47,29,-5,0.32,15,14.9,10.1,35.94,0,0,0,0,1,0,0,0,1,0,1,58.22434,43.074684,-89.384445,17.5,50.2,87,6.7,1.806,61747,82.5,30.1,0.40507,48.8,FALSE
Wyoming,9.9,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,WY,0.43,60,77.1,6.7,24.5,2.9,275.5,40.8,NA,327,-0.55,23,0.8,-0.32,0,12.1,7.8,35.56,0,0,0,0,0,0,0,0,0,0,0,5.78759,41.140259,-104.820236,17.1,49.1,92.5,1.3,2.205,64049,83.4,27.4,0.04077,69.9,TRUE
